CO_Mean,CO_Median,CO_ForwardFill,CO_Interpolation,CO_Seasonal
5.75,5.75,5.75,5.75,5.75
3.45,3.45,3.45,3.45,3.45
3.8,3.8,3.8,3.8,3.8
3.55,3.55,3.55,3.55,3.55
3.65,3.65,3.65,3.65,3.65
5.48,5.48,5.48,5.48,5.48
2.8,2.8,2.8,2.8,2.8
1.79,1.79,1.79,1.79,1.79
1.56,1.56,1.56,1.56,1.56
1.69,1.69,1.69,1.69,1.69
2.59,2.59,2.59,2.59,2.59
4.71,4.71,4.71,4.71,4.71
6.21,6.21,6.21,6.21,6.21
4.23,4.23,4.23,4.23,4.23
3.26,3.26,3.26,3.26,3.26
2.34,2.34,2.34,2.34,2.34
2.31,2.31,2.31,2.31,2.31
2.8,2.8,2.8,2.8,2.8
1.39,1.39,1.39,1.39,1.39
1.36,1.36,1.36,1.36,1.36
1.36,1.36,1.36,1.36,1.36
1.06,1.06,1.06,1.06,1.06
1.93,1.93,1.93,1.93,1.93
2.12,2.12,2.12,2.12,2.12
2.98,2.98,2.98,2.98,2.98
2.49,2.49,2.49,2.49,2.49
1.84,1.84,1.84,1.84,1.84
1.85,1.85,1.85,1.85,1.85
2.27,2.27,2.27,2.27,2.27
2.38,2.38,2.38,2.38,2.38
2.25,2.25,2.25,2.25,2.25
2.02,2.02,2.02,2.02,2.02
1.4,1.4,1.4,1.4,1.4
1.16,1.16,1.16,1.16,1.16
1.29,1.29,1.29,1.29,1.29
2.22,2.22,2.22,2.22,2.22
1.83,1.83,1.83,1.83,1.83
1.92,1.92,1.92,1.92,1.92
1.9,1.9,1.9,1.9,1.9
1.55,1.55,1.55,1.55,1.55
1.6,1.6,1.6,1.6,1.6
2.36,2.36,2.36,2.36,2.36
1.95,1.95,1.95,1.95,1.95
2.84,2.84,2.84,2.84,2.84
1.98,1.98,1.98,1.98,1.98
1.6,1.6,1.6,1.6,1.6
1.02,1.02,1.02,1.02,1.02
1.98,1.98,1.98,1.98,1.98
1.06,1.06,1.06,1.06,1.06
1.11,1.11,1.11,1.11,1.11
1.33,1.33,1.33,1.33,1.33
0.62,0.62,0.62,0.62,0.62
0.89,0.89,0.89,0.89,0.89
1.16,1.16,1.16,1.16,1.16
1.36,1.36,1.36,1.36,1.36
1.37,1.37,1.37,1.37,1.37
0.79,0.79,0.79,0.79,0.79
1.41,1.41,1.41,1.41,1.41
2.43,2.43,2.43,2.43,2.43
1.46,1.46,1.46,1.46,1.46
1.24,1.24,1.24,1.24,1.24
1.57,1.57,1.57,1.57,1.57
1.51,1.51,1.51,1.51,1.51
2.68,2.68,2.68,2.68,2.68
1.67,1.67,1.67,1.67,1.67
1.26,1.26,1.26,1.26,1.26
1.05,1.05,1.05,1.05,1.05
0.99,0.99,0.99,0.99,0.99
1.02,1.02,1.02,1.02,1.02
0.39,0.39,0.39,0.39,0.39
3.12,3.12,3.12,3.12,3.12
1.55,1.55,1.55,1.55,1.55
0.69,0.69,0.69,0.69,0.69
1.49,1.49,1.49,1.49,1.49
1.38,1.38,1.38,1.38,1.38
1.17,1.17,1.17,1.17,1.17
1.65,1.65,1.65,1.65,1.65
1.7,1.7,1.7,1.7,1.7
1.6,1.6,1.6,1.6,1.6
1.5,1.5,1.5,1.5,1.5
1.42,1.42,1.42,1.42,1.42
0.59,0.59,0.59,0.59,0.59
1.9,1.9,1.9,1.9,1.9
2.08,2.08,2.08,2.08,2.08
1.54,1.54,1.54,1.54,1.54
1.54,1.54,1.54,1.54,1.54
1.53,1.53,1.53,1.53,1.53
1.15,1.15,1.15,1.15,1.15
1.3,1.3,1.3,1.3,1.3
1.82,1.82,1.82,1.82,1.82
2.01,2.01,2.01,2.01,2.01
1.32,1.32,1.32,1.32,1.32
1.29,1.29,1.29,1.29,1.29
1.48,1.48,1.48,1.48,1.48
1.76,1.76,1.76,1.76,1.76
1.15,1.15,1.15,1.15,1.15
1.06,1.06,1.06,1.06,1.06
1.1,1.1,1.1,1.1,1.1
1.52,1.52,1.52,1.52,1.52
1.41,1.41,1.41,1.41,1.41
1.17,1.17,1.17,1.17,1.17
1.4,1.4,1.4,1.4,1.4
1.26,1.26,1.26,1.26,1.26
1.79,1.79,1.79,1.79,1.79
1.28,1.28,1.28,1.28,1.28
1.36,1.36,1.36,1.36,1.36
